Value    Percentile    TotalCount    1/(1-Percentile)

0.000000    0.000000        0            1.000000
0.269207    0.100000        4227            1.111111
0.274347    0.200000        8455            1.250000
0.281573    0.300000        12682            1.428571
0.292623    0.400000        16909            1.666667
0.313119    0.500000        21137            2.000000
0.322323    0.550000        23250            2.222222
0.330827    0.600000        25364            2.500000
0.342133    0.650000        27477            2.857143
0.358081    0.700000        29591            3.333333
0.385599    0.750000        31705            4.000000
0.405723    0.775000        32762            4.444444
0.424575    0.800000        33818            5.000000
0.445267    0.825000        34875            5.714286
0.464797    0.850000        35932            6.666667
0.485703    0.875000        36989            8.000000
0.500247    0.887500        37517            8.888889
0.513099    0.900000        38046            10.000000
0.527191    0.912500        38574            11.428571
0.544635    0.925000        39103            13.333333
0.565519    0.937500        39631            16.000000
0.577331    0.943750        39895            17.777778
0.590631    0.950000        40159            20.000000
0.604003    0.956250        40424            22.857143
0.622395    0.962500        40688            26.666667
0.643355    0.968750        40952            32.000000
0.658131    0.971875        41084            35.555556
0.671875    0.975000        41216            40.000000
0.688623    0.978125        41348            45.714286
0.705719    0.981250        41480            53.333333
0.728531    0.984375        41612            64.000000
0.746851    0.985938        41679            71.113640
0.770359    0.987500        41745            80.000000
0.797227    0.989062        41811            91.424392
0.831503    0.990625        41877            106.666667
0.884283    0.992188        41943            128.008193
0.910087    0.992969        41976            142.227279
0.946079    0.993750        42009            160.000000
1.007879    0.994531        42042            182.848784
1.076607    0.995313        42075            213.356091
1.183007    0.996094        42108            256.016385
1.286199    0.996484        42124            284.414107
1.438607    0.996875        42141            320.000000
1.594703    0.997266        42157            365.764448
1.827239    0.997656        42174            426.621160
2.074703    0.998047        42190            512.032770
2.242031    0.998242        42199            568.828214
2.539215    0.998437        42207            639.795266
2.751183    0.998633        42215            731.528895
2.916303    0.998828        42223            853.242321
3.224751    0.999023        42232            1023.541453
3.282687    0.999121        42236            1137.656428
3.478367    0.999219        42240            1280.409731
3.787135    0.999316        42244            1461.988304
3.939039    0.999414        42248            1706.484642
4.191519    0.999512        42252            2049.180328
4.215295    0.999561        42254            2277.904328
4.501439    0.999609        42256            2557.544757
4.682079    0.999658        42259            2923.976608
4.905823    0.999707        42261            3412.969283
4.929567    0.999756        42263            4098.360656
4.954047    0.999780        42264            4545.454545
5.215711    0.999805        42265            5128.205128
5.330975    0.999829        42266            5847.953216
5.396383    0.999854        42267            6849.315068
5.620095    0.999878        42268            8196.721311
5.620095    0.999890        42268            9090.909091
5.643871    0.999902        42269            10204.081633
5.643871    0.999915        42269            11764.705882
6.334399    0.999927        42270            13698.630137
6.334399    0.999939        42270            16393.442623
6.358143    0.999945        42271            18181.818182
6.358143    0.999951        42271            20408.163265
6.358143    0.999957        42271            23255.813953
6.358143    0.999963        42271            27027.027027
7.048671    0.999969        42272            32258.064516
7.048671    0.999973        42272            37037.037037
7.048671    0.999976        42272            41666.666667
7.048671    0.999979        42272            47619.047619
7.048671    0.999982        42272            55555.555555
7.048671    0.999985        42272            66666.666667
7.048671    0.999986        42272            71428.571428
7.048671    0.999988        42272            83333.333333
7.072415    0.999989        42273            90909.090909
7.072415    0.999991        42273            111111.111111
7.072415    0.999992        42273            125000.000000
7.072415    0.999993        42273            142857.142858
7.072415    0.999994        42273            166666.666665
7.072415    0.999995        42273            199999.999999
7.072415    0.999996        42273            250000.000000
7.072415    0.999997        42273            333333.333336
7.072415    0.999998        42273            499999.999986
7.072415    0.999999        42273            999999.999971
7.072415    1.000000        42273            10000000.000000
